lon,lat,datetime
-78.98439223,27.18793505,2014-11-15
-78.95282498,27.17238578,2014-11-16
-78.92459844,27.15675044,2014-11-17
-78.91246217,27.14615786,2014-11-18
-78.92916575,27.14573839,2014-11-19
-78.98745872,27.16062035,2014-11-20
-79.09873853,27.19541617,2014-11-21
-79.2743831,27.25507958,2014-11-22
-79.39490929,27.30909778,2014-11-23
-79.48233566,27.35695499,2014-11-24
-79.49109774,27.38322669,2014-11-25
-79.37329968,27.37008661,2014-11-26
-79.27108191,27.35650795,2014-11-27
-79.25583472,27.35516011,2014-11-28
-79.20201259,27.33428513,2014-11-29
-79.14626861,27.31705843,2014-11-30
-79.14639479,27.32614589,2014-12-01
-79.16867927,27.35942524,2014-12-02
-79.12635561,27.39681302,2014-12-03
-79.0962681,27.44285587,2014-12-04
-79.0676465,27.48742442,2014-12-05
-79.09148322,27.53203726,2014-12-06
-79.10839818,27.54111245,2014-12-07
-79.12841103,27.51998387,2014-12-08
-79.11024439,27.44240919,2014-12-09
-79.04644587,27.33961317,2014-12-10
-78.9880761,27.23199387,2014-12-11
-79.00477093,27.1461908,2014-12-12
-79.14968962,27.10030801,2014-12-13
-79.30318806,27.06342431,2014-12-14
-79.39392334,27.02123244,2014-12-15
-79.44723341,26.97685318,2014-12-16
-79.46986943,26.93067581,2014-12-17
-79.46745464,26.88302467,2014-12-18
-79.44561231,26.8342246,2014-12-19
-79.40996567,26.78460098,2014-12-20
-79.36613799,26.73447973,2014-12-21
-79.32114686,26.68426847,2014-12-22
-78.74513869,26.44818354,2015-01-04
-78.88391492,26.54045323,2015-01-05
-79.0969167,26.71177262,2015-01-06
-79.31543508,26.912771,2015-01-07
-79.48440541,27.10674333,2015-01-08
-79.54876304,27.25723061,2015-01-09
-79.45344336,27.32793979,2015-01-10
-79.23382692,27.31249295,2015-01-11
-79.19820992,27.28132431,2015-01-12
-79.22013838,27.37519474,2015-01-13
-79.22892019,27.49815518,2015-01-14
-79.20329867,27.57878023,2015-01-15
-79.21535228,27.46383051,2015-01-16
-79.1908981,27.30211953,2015-01-17
-79.3292941,27.53270521,2015-01-18
-79.50140182,27.9992581,2015-01-19
-79.65564004,28.58281177,2015-01-20
-79.74042753,29.16613563,2015-01-21
-79.7041831,29.63446887,2015-01-22
-79.4953255,29.87496201,2015-01-23
-79.06227354,29.7747475,2015-01-24
-78.51133059,29.40736283,2015-01-25
-77.98463063,29.3655583,2015-01-26
-77.43452078,29.013975,2015-01-27
-77.54099891,28.32005733,2015-01-28
-78.15392924,28.04095196,2015-01-29
-78.20143842,28.13988424,2015-01-30
-78.72211363,27.76081795,2015-01-31
-79.41163435,27.40042763,2015-02-01
-79.58849123,27.58879938,2015-02-02
-79.51946512,27.90369585,2015-02-03
-79.42829288,28.00121846,2015-02-04
-79.32525633,28.06844712,2015-02-05
-79.26736664,28.11855325,2015-02-06
-79.28201161,28.25327873,2015-02-07
-79.28092774,28.59131425,2015-02-08
-79.4827753,29.38113577,2015-02-09
-79.73780807,30.22993786,2015-02-10
-79.46359066,30.59757258,2015-02-11
-79.34417565,30.52494594,2015-02-12
